metric,mean,std
exact_accuracy,0.5743434343434344,0.1085179491664711
depth_accuracy,0.8173737373737374,0.08787124082303155
width_accuracy,0.6165656565656565,0.09591865155192304
depth_macro_f1,0.39163615738693136,0.09847979450172223
width_macro_f1,0.40576923076923077,0.10987186967056067
strategy_macro_f1,0.3036705516705517,0.09066013328024969
depth_abs_error,0.2826262626262626,0.2491280580488949
width_abs_error,0.6482828282828283,0.16264727889800434
cost_sensitive_error,0.6067676767676767,0.2891806907292107
loss,0.42403612128412976,0.14659247120665547
mean_pred_support_fbeta,0.33487804630058504,0.05612770347446583
mean_best_support_fbeta,0.3700848932325994,0.05206614126033986
mean_baseline_support_fbeta,0.2750019206347959,0.05135906238065076
mean_best_minus_pred_support_fbeta,0.03520684693201439,0.007450475660364318
mean_pred_minus_baseline_support_fbeta,0.05987612566578909,0.012547216730295964
mean_pred_llm_f1,0.46769423558897244,0.07547971801573405
mean_baseline_llm_f1,0.3985463659147869,0.08355307677587093
