metric,mean,std
exact_accuracy,0.5220588235294118,0.14760926396974067
depth_accuracy,0.704656862745098,0.26796233585550705
width_accuracy,0.5612745098039216,0.12994819746874084
depth_macro_f1,0.35645940470624904,0.1787118762165217
width_macro_f1,0.3692164438874965,0.07521153070246857
strategy_macro_f1,0.23141969507101087,0.08423080057626699
depth_abs_error,0.4129901960784314,0.4655104802351563
width_abs_error,0.7365196078431372,0.19118825378468324
cost_sensitive_error,0.78125,0.5595577365298247
loss,0.10161283566282116,0.022427782913854156
mean_pred_support_fbeta,0.3258494520995688,0.023115856388319905
mean_best_support_fbeta,0.37101011050040394,0.01461973889094056
mean_baseline_support_fbeta,0.27587084358729497,0.024662372158123055
mean_best_minus_pred_support_fbeta,0.04516065840083514,0.01798572020859891
mean_pred_minus_baseline_support_fbeta,0.049978608512273794,0.009518996202196105
mean_pred_llm_f1,0.5157456922162805,0.08356219031443082
mean_baseline_llm_f1,0.39661319073083784,0.052281673354946386
