metric,mean,std
exact_accuracy,0.5317777777777778,0.038947398665710536
depth_accuracy,0.6562962962962963,0.09363853684776584
width_accuracy,0.7091481481481481,0.04879262407996778
depth_macro_f1,0.39998847620027583,0.046525369515242665
width_macro_f1,0.40573411390484565,0.09664352141614128
strategy_macro_f1,0.1895620036765007,0.050879042456733865
depth_abs_error,0.5115555555555555,0.1566396089058872
width_abs_error,0.752,0.0712621852021149
cost_sensitive_error,0.8875555555555555,0.1584236476230751
loss,0.38910014761038625,0.010846531016687677
mean_pred_llm_f1,0.3940206956012312,0.03270325892733061
mean_best_llm_f1,0.6353454157249983,0.015228088362627056
mean_baseline_llm_f1,0.2756447432000687,0.01985016964768985
mean_best_minus_pred_f1,0.24132472012376707,0.03875454399545209
mean_pred_minus_baseline_f1,0.11837595240116247,0.01780832941122277
