metric,mean,std
exact_accuracy,0.46987315010570824,0.07596849377681007
depth_accuracy,0.6079985905567301,0.05789959457823271
width_accuracy,0.6619097956307258,0.04339298789027499
depth_macro_f1,0.3225474175028053,0.05174092092061901
width_macro_f1,0.3300785140133731,0.13230325197157475
strategy_macro_f1,0.14153468759462098,0.07725090506987314
depth_abs_error,0.6303735024665257,0.10314185570089507
width_abs_error,0.7993305144467935,0.08305388141972879
cost_sensitive_error,1.0300387596899225,0.11169500970857409
loss,0.41006260747899287,0.017880041501863436
mean_pred_llm_f1,0.35275648341212684,0.058745061292586505
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2830403948350464,0.049590950538167755
mean_pred_minus_baseline_f1,0.07711357434906992,0.052848272780426905
