metric,mean,std
exact_accuracy,0.5766384778012684,0.05647976803915811
depth_accuracy,0.6379492600422833,0.07409197913597142
width_accuracy,0.6999647639182522,0.02359173430686833
depth_macro_f1,0.40787576211164245,0.07573021943469702
width_macro_f1,0.49359894543736954,0.04954206651397673
strategy_macro_f1,0.2535635980336441,0.048543454078820304
depth_abs_error,0.5549682875264271,0.1717002598145853
width_abs_error,0.6543340380549684,0.0650685555877902
cost_sensitive_error,0.8821353065539114,0.20380113796186178
loss,0.11128356380613891,0.050292836501753965
mean_pred_llm_f1,0.4353431603426349,0.03311520161035217
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.20045371790453834,0.024773688953423502
mean_pred_minus_baseline_f1,0.15970025127957801,0.027466522308189523
