metric,mean,std
exact_accuracy,0.538583509513742,0.0374891873706244
depth_accuracy,0.6617336152219873,0.051439852264678364
width_accuracy,0.6844608879492601,0.029040923610604966
depth_macro_f1,0.3828158416242104,0.08942053390586134
width_macro_f1,0.3634408339838668,0.02140561276416591
strategy_macro_f1,0.1656907421618517,0.029349897313683218
depth_abs_error,0.5304792107117688,0.09858722574329137
width_abs_error,0.7389006342494714,0.054631837460560474
cost_sensitive_error,0.8999295278365045,0.10495148428350848
loss,1.2840796654287125,0.07163327615334826
mean_pred_llm_f1,0.40261637265834976,0.05566852050975533
mean_best_llm_f1,0.6357968782471732,0.011442357305505624
mean_baseline_llm_f1,0.27564290906305694,0.00669495824509852
mean_best_minus_pred_f1,0.2331805055888235,0.04646258311280767
mean_pred_minus_baseline_f1,0.1269734635952928,0.04974214438140618
